ID,回答エリア,施設,回答日時,宿泊数（全行程）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,宿泊目的,交通手段,交通手段（施設）,満足度（交通手段）,満足度理由（交通手段）,一人あたり宿泊費,一人あたり交通費,一人あたり消費額（県内）,訪問回数,情報源,訪問施設（前）,訪問施設（前）自由記入,訪問施設（後）自由記入,一人あたり消費額（施設）,満足度（商品・サービス）,満足度理由（商品・サービス）,満足度（施設）,満足度理由（施設）,不便（施設）,不便理由,NPS,自由意見（施設）,リピート意向,自由意見（県内）,性別,生年,都道府県,市区町村,世帯年収,回答動機,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
1384,加賀,小松空港,2023-12-24T15:49:13+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 地元の美味しいものを食べる","レンタカー, 飛行機",新幹線、飛行機,どちらでもない,悪天候に左右された,"50,000円以上、100,000円未満","50,000円以上、100,000円未満","30,000円以上、40,000円未満",初めて,Instagram,選択なし/該当施設なし,小松空港が最初,近江町市場,使わない,どちらでもない,何も購入してない,どちらでもない,ほとんど滞在してない,感じなかった,,8,特になし,機会があれば行きたい,特になし,男性,1994,栃木県,那須塩原市,400万円以上500万円未満,能登牛が当たる,,,食、風景
1385,加賀,小松空港,2023-12-24T15:51:03+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,地元の美味しいものを食べる,"レンタカー, 飛行機",在来線,満足,,"10,000円以上、20,000円未満","30,000円以上、40,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,近江町市場,兼六園,"1,000円以上、3,000円未満",どちらでもない,,どちらでもない,,感じた,空港から駅までが遠い,6,地元の美味しいごはん,機会があれば行きたい,特になし,女性,1997,栃木県,那須塩原市,100万円未満,能登牛が当たる,,,
1386,金沢,金沢中央観光案内所,2023-12-24T16:07:27+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 名所、旧跡の観光, まちあるき、都市散策",在来線,路線バス,どちらでもない,ICカードに対応していないから,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,歩いていたら発見した,ひがし茶屋街,,,使わない,とても満足,トイレが綺麗,とても満足,トイレが綺麗,感じなかった,,10,,また行きたい（1年以内）,海鮮料理が多いのでジビエや肉料理のアピールをもってしてみてはどうか,男性,1995,大阪府,大阪市,400万円以上500万円未満,能登牛が当たる,,,毎年金沢に旅行に来ていて来るたびに新しい発見があるから
1387,金沢,ホテルエコノ金沢駅前,2023-12-24T16:20:28+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,中学生以下連れの家族,"地元の美味しいものを食べる, まちあるき、都市散策",在来線,在来線,どちらでもない,サンダーバードが古い,"5,000円以上、10,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,"新聞・雑誌・ガイドブック, Instagram",近江町市場,,,"5,000円以上、10,000円未満",満足,接客が良かった,満足,挨拶がフレンドリーで良かった,感じなかった,,8,,また行きたい（1年以内）,近江町市場は観光地化していて価格が高い,男性,1975,大阪府,泉南郡岬町,1000万円以上1200万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい",,,観光施設がコンパクトにまとまり、回り易い
1388,金沢,町家ホテル　町の踊場,2023-12-24T16:25:46+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","新幹線, 在来線","タクシー, 路線バス",満足,バス停から近い,"50,000円以上、100,000円未満","50,000円以上、100,000円未満","20,000円以上、30,000円未満",初めて,"インターネット・アプリ, Instagram",金沢21世紀美術館,,,"50,000円以上、100,000円未満",とても満足,丁寧な接客や落ち着くお部屋が良かった,とても満足,ゆったり落ち着いて過ごせた,感じなかった,,10,,また行きたい（1年以内）,海鮮やお肉,男性,2002,広島県,広島市,600万円以上700万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい",,,食事や人柄が良かった
1389,金沢,町家ホテル　町の踊場,2023-12-24T16:29:24+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","新幹線, 在来線","タクシー, 路線バス, 徒歩",満足,バス停から程よく近い,"50,000円以上、100,000円未満","50,000円以上、100,000円未満","50,000円以上、100,000円未満",初めて,"インターネット・アプリ, Instagram",兼六園,,,"50,000円以上、100,000円未満",とても満足,丁寧な接客と雰囲気が良かった,とても満足,ゆったり落ち着いて良かった,感じなかった,,10,,また行きたい（1年以内）,海鮮やお肉,男性,2002,広島県,広島市,600万円以上700万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい",,,人柄や食事が良かった
1390,能登,のとじま水族館,2023-12-24T17:00:58+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,小学生以下連れの家族,"温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"50,000円以上、100,000円未満",使わない,"3,000円以上、5,000円未満",６～１０回目,"新聞・雑誌・ガイドブック, インターネット・アプリ",選択なし/該当施設なし,,温泉宿,"1,000円以上、3,000円未満",満足,可愛いお魚のグッズがたくさんあって、選ぶのも楽しいからです。,とても満足,天気は荒れていたけど、ふれあいコーナーや色々なイベントや季節のショーが開催されていたので。,感じた,土砂降りだったので、移動が不便に感じました。,9,イルカのふれあい体験とか普段体験出来ないことが出来たらワクワク楽しい思い出になると思います。,また行きたい（1年以内）,能登がきが大好きなので、色々な料理を味わえるイベントがあると嬉しいです。,女性,1978,富山県,高岡市,1000万円以上1200万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",,,ふれあいコーナー
1391,加賀,ウェルネスハウスSARAI,2023-12-24T18:31:33+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,友人,温泉や露天風呂,自家用車,自家用車,,,使わない,"1,000円未満","1,000円以上、3,000円未満",初めて,新聞・雑誌・ガイドブック,選択なし/該当施設なし,道の駅,,"1,000円未満",満足,風呂が内湯ひとつだったので。小さい露天風呂があれば良かった。,満足,施設が綺麗で良かった,感じなかった,,8,,また行きたい（1年以内）,温泉,男性,1974,富山県,高岡市,500万円以上600万円未満,能登牛が当たる,,,お湯が良かった
1392,加賀,小松空港,2023-12-24T18:31:51+09:00,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,路線バス,満足,路線バス　時間通り,"5,000円以上、10,000円未満","3,000円以上、5,000円未満","40,000円以上、50,000円未満",初めて,"インターネット・アプリ, 観光協会等の案内所",選択なし/該当施設なし,,,"1,000円以上、3,000円未満",どちらでもない,軽食ができる飲食店がもう少し多いといい。,どちらでもない,軽食用、例えばおにぎりが販売されていたらよかった。,感じなかった,,6,軽食できる食べ物を多数揃えて欲しい。,機会があれば行きたい,今のままで充分。,女性,1969,神奈川県,川崎市,500万円以上600万円未満,能登牛が当たる,,,金沢の食事は美味しい。
1393,能登,ランプの宿,2023-12-24T18:40:33+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,富山県,恋人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット",自家用車,自家用車,,,"30,000円以上、40,000円未満","30,000円以上、40,000円未満","50,000円以上、100,000円未満",初めて,インターネット・アプリ,のとじま水族館,,,"5,000円以上、10,000円未満",とても満足,,とても満足,,感じた,テレビがない,10,,また行きたい（1年以内）,特になし,男性,1996,富山県,高岡市,900万円以上1000万円未満,能登牛が当たる,,,
1394,加賀,ウェルネスハウスSARAI,2023-12-24T18:58:10+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,夫と妹の３人で,"温泉や露天風呂, ドライブ・ツーリング",自家用車,自家用車,,,使わない,"1,000円未満","1,000円以上、3,000円未満",初めて,新聞・雑誌・ガイドブック,選択なし/該当施設なし,,,"1,000円未満",とても満足,九谷焼のタイルが飾られたお風呂が素敵だった。宿泊もでき、色々な部屋があるようなので次回はぜひ泊まってみたい,とても満足,新しくてきれい、モダンでおしゃれ,感じなかった,,9,,また行きたい（1年以内）,特になし,女性,1976,富山県,高岡市,400万円以上500万円未満,"能登牛が当たる, ひゃくまんさんが好き",,,素敵な施設なのでぜひまた訪れたい
1395,加賀,ウェルネスハウスSARAI,2023-12-24T19:07:25+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,親,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 買い物、アウトレット, まちあるき、都市散策, ドライブ・ツーリング",自家用車,自家用車,,,"3,000円以上、5,000円未満","3,000円以上、5,000円未満","3,000円以上、5,000円未満",初めて,新聞・雑誌・ガイドブック,石川県立航空プラザ,,,"3,000円以上、5,000円未満",とても満足,きれいでおちつく,とても満足,,感じなかった,,10,,また行きたい（1年以内）,温泉施設、陶芸品、海鮮,女性,1978,富山県,高岡市,300万円以上400万円未満,"能登牛が当たる, ひゃくまんさんが好き",,,
1396,加賀,たちばな四季亭,2023-12-24T20:53:23+09:00,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,,,"50,000円以上、100,000円未満",使わない,"3,000円以上、5,000円未満",初めて,"インターネット・アプリ, Instagram",選択なし/該当施設なし,,,"3,000円以上、5,000円未満",満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,特になし,女性,1987,石川県,河北郡内灘町,600万円以上700万円未満,能登牛が当たる,,,
1397,加賀,温泉めい想倶楽部　富士屋旅館,2023-12-25T00:29:01+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策","新幹線, 在来線","タクシー, 在来線",とても満足,移動がスムーズにできて良かった。,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,"観光展・物産展, 新聞・雑誌・ガイドブック, 観光連盟やDMOのHP, インターネット・アプリ",月うさぎの里,,,"1,000円以上、3,000円未満",とても満足,満足度が高かった。,満足,全体的に良かった。,感じなかった,ありませんでした。,10,レトロなものがあると良い,また行きたい（1年以内）,中々興味深い内容でした。,男性,1986,愛知県,常滑市,300万円以上400万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",,,わりと楽しめて満足度が高いから。
1398,金沢,チサンバジェット金沢駅前,2023-12-25T06:29:40+09:00,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,"新幹線, 在来線",徒歩,,,"5,000円以上、10,000円未満","3,000円以上、5,000円未満","100,000円以上",２～５回目,"観光パンフレット・ポスター, インターネット・アプリ, 友人・知人",兼六園,,県立図書館,"100,000円以上",どちらでもない,ビジネスだから仕方ない,どちらでもない,ビジネスだから仕方ない,感じた,コインランドリーがなかなか空いていない,5,,どちらともいえない,仕事で長期で来ているので食事のデリバリーをしてほしい,女性,1956,愛知県,知多郡,200万円以上300万円未満,能登牛が当たる,,,
1399,金沢,KOKOHOTEL Premier 金沢香林坊,2023-12-25T07:21:05+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,地元の美味しいものを食べる,自家用車,自家用車,,,"3,000円以上、5,000円未満","1,000円以上、3,000円未満","3,000円以上、5,000円未満",１１回目以上,インターネット・アプリ,選択なし/該当施設なし,牡蠣(中島町),,"3,000円以上、5,000円未満",満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,金沢市の宿泊税を廃止してほしい。,男性,1961,富山県,小矢部市,300万円以上400万円未満,能登牛が当たる,,,
1400,能登,のとじま水族館,2023-12-25T08:48:12+09:00,2泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,富山県,小学生以下連れの家族,名所、旧跡の観光,レンタカー,レンタカー,満足,施設の管理清掃が良く、楽しかった,"1,000円以上、3,000円未満","3,000円以上、5,000円未満","1,000円以上、3,000円未満",初めて,"観光展・物産展, インターネット・アプリ",選択なし/該当施設なし,ホテルがすぐそばだった,ガラス館,"1,000円以上、3,000円未満",満足,こどもが喜んでくれた,満足,施設がきれいに管理されていｔA,感じなかった,,6,今回レストランが閉まっていたので、食事の取れる所がもう少し欲しいもの,機会があれば行きたい,お土産物を売る所移動の道路にほしい,男性,1964,和歌山県,紀の川市,500万円以上600万円未満,"能登牛が当たる, なんとなく",,,雨でも濡れないので良かった
1401,能登,ランプの宿,2023-12-25T09:42:08+09:00,2泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,京都,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","レンタカー, 在来線","レンタカー, 在来線",とても満足,京都から七尾まで、サンダーバードで乗換なしでラクに来られたから。。,"20,000円以上、30,000円未満","20,000円以上、30,000円未満","20,000円以上、30,000円未満",２～５回目,幼少期の思い出に残っていたため。,選択なし/該当施設なし,七尾駅からランプの宿までのルートにある道の駅各駅,,"30,000円以上、40,000円未満",とても満足,サービス、お風呂、ごはんとすべてが最高でした！,とても満足,とにもかくにも、センスがいい！,感じなかった,,10,また来たくなる要素がたくさんありました。ありがとう。,また行きたい（1年以内）,新幹線以外の交通の充実。交通も含めてアクティビティなのかなと思います。,男性,1990,神奈川県,大和市,900万円以上1000万円未満,"能登牛が当たる, ひゃくまさんが好き, 石川県のおすすめ観光スポットが見たい",,,食にお風呂にお宿に、最高の旅になったから。
1402,金沢,ホテルマイステイズプレミア金沢,2023-12-25T09:43:53+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,親,宿でのんびり過ごす,自家用車,自家用車,,,"3,000円以上、5,000円未満","1,000円以上、3,000円未満","3,000円以上、5,000円未満",初めて,インターネット・アプリ,金沢21世紀美術館,,,"3,000円以上、5,000円未満",満足,,満足,,感じなかった,,7,,また行きたい（1年以内）,海鮮を食べる。,男性,2002,石川県,金沢市,100万円未満,能登牛が当たる,,,
1403,金沢,ホテルマイステイズプレミア金沢,2023-12-25T09:47:48+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,中学生以下連れの家族,息子の定期演奏会,自家用車,自家用車,,,"3,000円以上、5,000円未満","10,000円以上、20,000円未満","40,000円以上、50,000円未満",２～５回目,"インターネット・アプリ, Instagram",兼六園,,,"10,000円以上、20,000円未満",満足,質問に対する対応が優しく丁寧。,満足,室内のテーブル上に埃あり。,感じなかった,,10,,また行きたい（1年以内）,おでん,男性,1967,茨城県,古河市,700万円以上800万円未満,能登牛が当たる,,,駅に近いこと。スタッフの対応が丁寧なこと。
1404,金沢,ホテルマイステイズプレミア金沢,2023-12-25T09:55:47+09:00,4泊以上,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,岐阜県,中学生以下連れの家族,"お祭りやイベントへの参加・見物, 息子に会う",自家用車,自家用車,,,"20,000円以上、30,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",２～５回目,インターネット・アプリ,金沢21世紀美術館,,,"10,000円以上、20,000円未満",満足,ケーキ用のナイフをお借りした際、とても丁寧に対応して頂きました,満足,,感じた,四人利用なので、お風呂利用中のトイレが困りました,7,,機会があれば行きたい,魚介です！,女性,1971,茨城県,古河市,500万円以上600万円未満,能登牛が当たる,,,リファのシャワーとドライヤー良かったです✨
1405,金沢,金沢中央観光案内所,2023-12-25T10:10:02+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,"名所、旧跡の観光, 各種体験（手作り、果物狩りなど）",在来線,路線バス,とても満足,,"5,000円以上、10,000円未満","20,000円以上、30,000円未満","5,000円以上、10,000円未満",６～１０回目,"観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, 観光連盟やDMOのHP, インターネット・アプリ, X(旧：Twitter), Instagram, 友人・知人, 観光協会等の案内所",尾山神社,,,使わない,満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,海産物,女性,1976,京都府,木津川市,600万円以上700万円未満,なんとなく,,,
1406,金沢,ダイワロイネットホテル金沢MIYABI,2023-12-25T11:13:30+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策",新幹線,徒歩,,,"20,000円以上、30,000円未満","20,000円以上、30,000円未満","50,000円以上、100,000円未満",２～５回目,インターネット・アプリ,ひがし茶屋街,,,使わない,とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,器作り、絵付け体験,男性,1969,東京都,新宿区,1500万円以上,ひゃくまんさんが好き,,,
1407,能登,のとじま水族館,2023-12-25T11:13:38+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,とても満足,道がスムーズだった,"50,000円以上、100,000円未満","10,000円以上、20,000円未満","50,000円以上、100,000円未満",２～５回目,"観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM",道の駅のとじま,,,"10,000円以上、20,000円未満",とても満足,スタッフが親切だった,とても満足,,感じなかった,,10,とくに,また行きたい（1年以内）,ラーメンが美味しそう。,女性,1989,富山県,中新川郡,400万円以上500万円未満,能登牛が当たる,,,魚を見るのが楽しかった
1408,能登,のとじま水族館,2023-12-25T11:59:53+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,夫婦2人,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,,,"5,000円以上、10,000円未満","5,000円以上、10,000円未満","5,000円以上、10,000円未満",２～５回目,観光パンフレット・ポスター,選択なし/該当施設なし,,,"3,000円以上、5,000円未満",どちらでもない,もっと工夫が欲しい,どちらでもない,屋根つながりになってて欲しい,感じた,雨の時に移動にいちいち傘をささなくてはいけなかった,5,,また行きたい（1年以内）,なし,女性,1962,富山県,富山市,300万円以上400万円未満,能登牛が当たる,,,
1409,金沢,長町武家屋敷休憩館,2023-12-25T12:02:26+09:00,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,富山県,恋人,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",旅行会社ツアーバス,徒歩,,,"5,000円以上、10,000円未満","1,000円以上、3,000円未満","5,000円以上、10,000円未満",初めて,インターネット・アプリ,近江町市場,,,"1,000円未満",満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,かに！,男性,2001,千葉県,習志野市,1200万円以上1500万円未満,能登牛が当たる,,,
1410,能登,のとじま水族館,2023-12-25T12:05:02+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,夫婦2人,地元の美味しいものを食べる,自家用車,自家用車,,,使わない,"3,000円以上、5,000円未満","5,000円以上、10,000円未満",２～５回目,新聞・雑誌・ガイドブック,千里浜なぎさドライブウェイ,,,"3,000円以上、5,000円未満",満足,案内が分かりやすく,満足,案内が分かりやすく,感じなかった,,7,,機会があれば行きたい,　特になし,男性,1952,富山県,富山市,200万円以上300万円未満,能登牛が当たる,,,楽しい
1411,能登,能登食祭市場,2023-12-25T12:05:59+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,温泉や露天風呂,自家用車,自家用車,,,"50,000円以上、100,000円未満","20,000円以上、30,000円未満","30,000円以上、40,000円未満",初めて,"インターネット・アプリ, X(旧：Twitter), Instagram",選択なし/該当施設なし,,,"10,000円以上、20,000円未満",満足,海鮮が食べれたのと、従業員さんの気配りが優しい。香箱蟹が食べれた。,満足,海鮮と、お土産,感じなかった,,8,海鮮,機会があれば行きたい,お正月用に親戚に送るカニを買いたい,男性,1973,愛知県,豊川市,1500万円以上,なんとなく,,,楽しい。海鮮が焼いて食べれる。雨でも、テンション上がる
1412,金沢,金沢城公園,2023-12-25T13:19:53+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,まちあるき、都市散策,新幹線,路線バス,とても満足,バスの頻度が高いので,"20,000円以上、30,000円未満","30,000円以上、40,000円未満","40,000円以上、50,000円未満",２～５回目,インターネット・アプリ,金沢21世紀美術館,,,"3,000円以上、5,000円未満",満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,市内電車があると良いですね,男性,1957,神奈川県,横浜市,1500万円以上,"ひゃくまんさんの名刺をコレクションしている, 石川県の雑学を知りたい",,,
1413,能登,能登食祭市場,2023-12-25T13:22:06+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",在来線,タクシー,どちらでもない,雨でなかったら電車と徒歩で訪れたかった,"100,000円以上","40,000円以上、50,000円未満","20,000円以上、30,000円未満",１１回目以上,友人・知人,のとじま水族館,,,"10,000円以上、20,000円未満",とても満足,海鮮がおいしい！,とても満足,とてもきれいで快適,感じなかった,,10,,また行きたい（1年以内）,特になし,女性,1995,大阪府,大阪市,700万円以上800万円未満,能登牛が当たる,,,魅力的だから
1414,能登,のとじま水族館,2023-12-25T13:27:26+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,恋人,"温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策",自家用車,自家用車,満足,,"5,000円以上、10,000円未満","3,000円以上、5,000円未満","5,000円以上、10,000円未満",２～５回目,"インターネット・アプリ, 友人・知人",選択なし/該当施設なし,,,"1,000円未満",どちらでもない,,満足,,感じなかった,,6,,石川県在住,特になし,男性,1996,石川県,小松市,300万円以上400万円未満,なんとなく,,,
1415,能登,のとじま水族館,2023-12-25T13:28:33+09:00,1泊,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"40,000円以上、50,000円未満","1,000円以上、3,000円未満","5,000円以上、10,000円未満",初めて,"観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター",千里浜なぎさドライブウェイ,,輪島温泉,"3,000円以上、5,000円未満",満足,イルカショーなどがとても楽しかった,とても満足,たくさんの展示があった,感じなかった,,10,楽しかったです,石川県在住,北陸らしさ,女性,1997,石川県,小松市,400万円以上500万円未満,能登牛が当たる,,,みんなで楽しめるから
1416,能登,のとじま水族館,2023-12-25T13:38:52+09:00,3泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,富山県,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策",自家用車,自家用車,,,"20,000円以上、30,000円未満","5,000円以上、10,000円未満","10,000円以上、20,000円未満",２～５回目,"新聞・雑誌・ガイドブック, 友人・知人",選択なし/該当施設なし,,,"1,000円未満",とても満足,,とても満足,,感じなかった,,10,,機会があれば行きたい,金沢カレーをもっと押し出すべき。,男性,1994,静岡県,静岡市,500万円以上600万円未満,能登牛が当たる,,,
1417,能登,能登食祭市場,2023-12-25T14:06:41+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,恋人,宿でのんびり過ごす,飛行機,在来線,満足,定刻通りに電車が来た,"50,000円以上、100,000円未満","20,000円以上、30,000円未満","5,000円以上、10,000円未満",初めて,観光展・物産展,のとじま水族館,,,"1,000円以上、3,000円未満",満足,,満足,,感じた,駅からバスが出てると嬉しい,6,,また行きたい（1年以内）,のとじま水族館とバスのアクセスが数本しかないが、バスを降りてから水族館のイベントがすぐあり見られなかった,女性,1995,東京都,品川区,500万円以上600万円未満,なんとなく,,,買い物ができる
1418,能登,能登食祭市場,2023-12-25T14:46:03+09:00,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",自家用車,自家用車,,,"30,000円以上、40,000円未満","10,000円以上、20,000円未満","20,000円以上、30,000円未満",初めて,友人・知人,道の駅のとじま,,金沢駅,"3,000円以上、5,000円未満",とても満足,安いのにボリュームがあり美味しかった,とても満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,その他,1999,富山県,南砺市,300万円以上400万円未満,"能登牛が当たる, なんとなく",,,
1419,能登,のとじま水族館,2023-12-25T14:49:25+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策, ドライブ・ツーリング",自家用車,自家用車,,,"40,000円以上、50,000円未満","10,000円以上、20,000円未満","20,000円以上、30,000円未満",初めて,"観光展・物産展, インターネット・アプリ",道の駅のとじま,,,"3,000円以上、5,000円未満",とても満足,,とても満足,,感じた,,10,,機会があれば行きたい,ノドグロ,男性,1956,奈良県,奈良市,200万円以上300万円未満,能登牛が当たる,,,
1420,能登,のとじま水族館,2023-12-25T15:01:06+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,,,"50,000円以上、100,000円未満","20,000円以上、30,000円未満","50,000円以上、100,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,どこにも寄ってないから,,"3,000円以上、5,000円未満",満足,,とても満足,魚やアザラシなど近くに感じれる展示だから,感じた,駐車場が微妙に遠い,10,,機会があれば行きたい,特になし,女性,1975,奈良県,奈良市,200万円以上300万円未満,能登牛が当たる,,,良かったから。
