施設,タイムスタンプ,個人情報保護の方針について,全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）,石川県内での宿泊数をお答えください,石川県内での宿泊エリアをお答えください,石川県外での宿泊エリアをお答えください,今回はどなたと石川県を訪れていますか？,今回の石川県の訪問目的は何ですか？（複数選択可）,石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください,次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください,前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。,上記満足度の理由について、具体的に教えてください,今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）,"今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり）
※石川県外からの交通費、石川県内での交通費を含む。","今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり）
※飲食、買い物、体験・観光などの消費額合計
※宿泊費、交通費を除く",これまでに   当施設   には何度訪れたことがありますか。,今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）,"当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(前),"当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(後),当施設    における、消費総額をお答えください。（予定でも可/１人あたり）,当施設 における、商品・サービスの満足度をお答えください,上記満足度の理由につい具体的に教えてください。(サービス),当施設   における、施設全体の満足度をお答えください。,上記満足度の理由につい具体的に教えてください。(施設全体),当施設   において、不便を感じたり困ったことはありましたか。,上記不便を感じたり、困ったことについて具体的に教えてください,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください,今後、再び石川県を訪れたいと思いますか,"あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。

(※必須項目です。無ければ「特になし」とご記入ください)",性別をお答えください,生まれた年をお答えください,お住いの都道府県をお答えください,"お住いの市区町村をお答えください
例：新宿区",世帯年収をお答えください,アンケートに回答しようと思った動機をお答えください,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
小松空港,2025/07/21 16:49:45,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,出張など仕事関係,飛行機,レンタカー,満足,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,"インターネット・アプリ, 友人・知人",選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,リラクゼーションコーナー,満足,,感じた,ANAFESTが無かった,7,農口日本酒あってよかった,機会があれば行きたい,夏場は涼しい場所,女,1968,神奈川県,中郡大磯町,800万円以上 900万円未満,景品が当たる,満足,8,
月うさぎの里,2025/07/21 20:04:21,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,,,使わない,"5,000円以上 10,000円未満","1,000円未満",2～5回目,観光パンフレット・ポスター,月うさぎの里,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,,どちらでもない,,感じなかった,,0,,機会があれば行きたい,特になし,女,1987,福井県,福井市,500万円以上 600万円未満,景品が当たる,満足,10,
小松空港,2025/07/21 20:08:32,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, ドライブ・ツーリング",飛行機,レンタカー,とても満足,とても良い車を借りられたので疲れにくかった,"30,000円以上 40,000円未満","30,000円以上 40,000円未満","20,000円以上 30,000円未満",6～10回目,"新聞・雑誌・ガイドブック, インターネット・アプリ, 友人・知人",選択なし/該当施設なし,白山比咩神社,選択なし／該当施設なし,帰宅するため,"5,000円以上 10,000円未満",満足,色々と品物が揃っていて金額も高すぎない。,満足,,感じた,ゆっくりできる飲食店がない。スタバのようなカフェなど。,9,品揃えが良く、買い物も楽しかった,また行きたい（1年以内）,特になし,女,1974,東京都,中野区,500万円以上 600万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県の雑学を知りたい, 時間があった",とても満足,10,食事のクオリティが高くとても満足する食事ができた。自然が多く暑いけれど比較的快適に過ごせた。
小松空港,2025/07/21 20:23:21,同意する,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,友人,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,レンタカー,満足,時間が自由,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","5,000円以上 10,000円未満",2～5回目,新聞・雑誌・ガイドブック,石川県立航空プラザ,,選択なし／該当施設なし,,"10,000円以上 20,000円未満",満足,楽しかった,満足,楽しい,感じなかった,,9,白えびせんべい,また行きたい（1年以内）,お手頃な海鮮,女,1971,東京都,北区,200万円以上 300万円未満,景品が当たる,満足,9,
小松空港,2025/07/21 20:27:15,同意する,2泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,親,福井にはあまり交通手段がないため,飛行機,レンタカー,満足,とてもたくさんの交通の便がとてもよく、旅行の時の移動にとても便利だったから,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,"観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM",石川県立航空プラザ,,選択なし／該当施設なし,あまり行く予定が決まっていないため,"1,000円以上 3,000円未満",とても満足,石川県限定のお菓子などがたくさんあったため,満足,お土産施設などがたくさん揃っているから,感じなかった,,8,初めて見るお菓子などがたくさんあってとてもよかった,機会があれば行きたい,特になし,男,2010,東京都,北区,400万円以上 500万円未満,景品が当たる,どちらでもない,6,サービス精神の良さです。理由は、自分の家の近くにあるところとは違い、お客さんを楽しませる工夫がたくさんあったからです
トレインパーク白山,2025/07/21 22:53:08,同意する,2泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,富山県,夫婦2人,名所、旧跡の観光,自家用車,自家用車,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",2～5回目,"新聞・雑誌・ガイドブック, インターネット・アプリ",那谷寺,,石川県立航空プラザ,,"1,000円以上 3,000円未満",満足,庭園が改装中であったが奇岩か素晴らしかった,満足,夫が喜んでいたから,感じなかった,なし,8,きらめきソフトクリーム,また行きたい（1年以内）,海鮮、お菓子、おでん,女,1964,奈良県,生駒市,400万円以上 500万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい",満足,9,那谷寺　奇岩のスケールの大きさ
小松空港,2025/07/22 9:09:24,同意する,2泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,友人,テーマパーク（遊園地、動物園、博物館など）,飛行機,レンタカー,満足,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","20,000円以上 30,000円未満",2～5回目,新聞・雑誌・ガイドブック,選択なし/該当施設なし,,選択なし／該当施設なし,,"5,000円以上 10,000円未満",満足,,満足,,感じた,ラウンジの終わりが早い,8,,また行きたい（1年以内）,温泉　お酒を満喫ささたい,女,1970,東京都,西東京市,100万円以上 200万円未満,景品が当たる,満足,8,
小松空港,2025/07/22 10:26:50,同意する,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,小学生以下連れの家族,友人・親戚を訪ねる,飛行機,"自家用車, 徒歩",,,使わない,"5,000円以上 10,000円未満",使わない,2～5回目,友人・知人,石川県立航空プラザ,,選択なし／該当施設なし,,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,8,,また行きたい（1年以内）,ご飯がおいしい、海鮮やご当地のものが多くて楽しい,女,1993,神奈川県,横浜市,"1,500万円以上",景品が当たる,とても満足,10,
航空プラザ,2025/07/22 11:54:37,同意する,日帰り,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,福井県,中学生以上連れの家族,宿でのんびり過ごす,自家用車,自家用車,,,"40,000円以上 50,000円未満","10,000円以上 20,000円未満","30,000円以上 40,000円未満",6～10回目,インターネット・アプリ,石川県立航空プラザ,,那谷寺,,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じなかった,,10,能登牛、ソフトクリーム、イカ釣り,また行きたい（1年以内）,イカ釣り、能登牛,女,1980,石川県,小松市,100万円以上 200万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",とても満足,10,
トレインパーク白山,2025/07/22 12:46:28,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",初めて,友人・知人,選択なし/該当施設なし,徳光サービスエリア,石川県立航空プラザ,,"3,000円以上 5,000円未満",満足,理由はないです,満足,理由はないです,感じなかった,,8,,また行きたい（1年以内）,会社に分かれそうなお土産がたくさんあった,女,1990,福井県,鯖江市,700万円以上 800万円未満,景品が当たる,とても満足,8,
小松市観光交流センター Komatsu九,2025/07/22 13:46:37,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,友人・親戚を訪ねる,"新幹線, 在来線",自家用車,,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",11回目以上,友人・知人,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,ポムポムプリンのコラボグッズをもっと増やしてほしいです！,満足,小松のお土産が沢山置いてあって良いです。ポムポムプリンのグッズもここで買えるので来た際には新作をチェックしています。,感じなかった,,8,,また行きたい（1年以内）,小松市出身ですが、昔はこのようなお土産屋さんがあまりなかったように思います。駅に出来てから改めて小松のお土産や工芸品を見る機会ができて良かったです。ポムポムプリンが好きなのでコラボ商品はよく購入しています。プリンファンは多いと思うので、もっとグッズを増やして目立つように販売してもいいのではと思います。プリン効果で小松に来てくれる人が増えるといいな〜,女,1993,大阪府,豊中市,"1,500万円以上",地元の小松が大好きだから,とても満足,10,今回は実家に帰省でしたが、子供をちゃっぷるに連れて行きました。小さい子供には楽しく無料で素晴らしかったです。大阪に住んでいますが、このような施設が無料はありえないです。
トレインパーク白山,2025/07/22 14:01:14,同意する,2泊,2泊,白山エリア （一里野温泉、白峰温泉、白山市など）,石川県外には泊まらない,小学生以下連れの家族,"地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット","レンタカー, 飛行機",レンタカー,満足,,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",初めて,観光パンフレット・ポスター,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",とても満足,こどもが遊ぶ施設が充実していた,とても満足,,感じなかった,,9,,機会があれば行きたい,特になし,男,1984,東京都,足立区,600万円以上 700万円未満,景品が当たる,とても満足,9,
アドベンチャーガーデン能美,2025/07/22 14:44:36,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"温泉や露天風呂, 地元の美味しいものを食べる, アウトドア（海水浴、釣り、登山など）, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）, ドライブ・ツーリング",自家用車,自家用車,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満",使わない,2～5回目,インターネット・アプリ,選択なし/該当施設なし,道の駅　こまつ木場潟,選択なし／該当施設なし,粟津グランドホテル,"1,000円以上 3,000円未満",とても満足,丁寧な対応、説明。アクティビティ時の見守りも安心でした。,とても満足,緑の中で気持ちよく汗をかいて、スリルを楽しめました！,感じなかった,,10,特にありません！,また行きたい（1年以内）,特になし,女,1984,兵庫県,芦屋市,300万円以上 400万円未満,景品が当たる,とても満足,10,食べ物、アクティビティ、景色
小松空港,2025/07/22 17:01:59,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,路線バス,とても満足,運転手の方がとてもお優しく、バス乗り場もわかりやすかったです。,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","1,000円以上 3,000円未満",初めて,Instagram,選択なし/該当施設なし,金沢城、21世紀美術館、ひがし茶屋街、兼六園,選択なし／該当施設なし,,"20,000円以上 30,000円未満",とても満足,とても綺麗でした。,とても満足,,感じなかった,,8,海鮮がとても美味しく、こじんまりとしていて、観光しやすかったです。,機会があれば行きたい,情緒あふれる街並みを生かした飲食店,女,1995,千葉県,四街道市,600万円以上 700万円未満,景品が当たる,とても満足,9,
小松空港,2025/07/22 17:02:50,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,路線バス,満足,特に大きな問題なしだから,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ, 友人・知人",選択なし/該当施設なし,金沢城　東茶屋,選択なし／該当施設なし,帰宅,使わない,満足,楽しかった,満足,問題なかった,感じなかった,,8,,機会があれば行きたい,魚も肉も美味しい,男,1974,埼玉県,富士見市,600万円以上 700万円未満,景品が当たる,とても満足,8,街がきれいで人もよい
「安宅の関」こまつ勧進帳の里,2025/07/22 17:13:20,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,友人・親戚を訪ねる,県外から訪れていない（石川県内在住）,自家用車,,,"5,000円以上 10,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",6～10回目,友人・知人,那谷寺,安宅の関、住吉神社,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,7,,また行きたい（1年以内）,混み合ったところが少なく人の少なさがとてもいい。商業感のないところも、落ち着く。,女,1991,石川県,小松市,100万円未満,景品が当たる,満足,8,
「安宅の関」こまつ勧進帳の里,2025/07/22 17:23:09,同意する,1泊,1泊,白山エリア （一里野温泉、白峰温泉、白山市など）,石川県外には泊まらない,自分ひとり,"地元の美味しいものを食べる, 名所、旧跡の観光, 友人・親戚を訪ねる",自家用車,在来線,,,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",6～10回目,友人・知人,選択なし/該当施設なし,安宅カフェ,選択なし／該当施設なし,,"10,000円以上 20,000円未満",満足,美味しいご飯とリラックスできる場所,とても満足,,感じなかった,,9,最高なご飯です,また行きたい（1年以内）,美味しいご飯,女,1970,大阪府,河内長野市,400万円以上 500万円未満,石川県のおすすめ観光スポットが見たい,とても満足,10,自然
小松空港,2025/07/23 10:18:05,同意する,1泊,石川県内には宿泊しない,石川県内には宿泊しない,東京,団体旅行,テーマパーク（遊園地、動物園、博物館など）,飛行機,タクシー,どちらでもない,利便性,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","30,000円以上 40,000円未満",11回目以上,"インターネット・アプリ, Instagram, 観光協会等の案内所",選択なし/該当施設なし,龍助町,選択なし／該当施設なし,龍助町,"1,000円以上 3,000円未満",どちらでもない,くつろぎスペースが少ない,どちらでもない,食べ物が美味しい,感じた,くつろぎスペース,10,充実度が高い,また行きたい（1年以内）,土地や人の物語があるもの,男,1980,石川県,小松市,400万円以上 500万円未満,動く３Dひゃくまんさんを見たい,とても満足,10,人の良さ
ふれあい昆虫館,2025/07/23 13:21:01,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,福井県,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）, ドライブ・ツーリング",自家用車,自家用車,とても満足,,使わない,"3,000円以上 5,000円未満",使わない,11回目以上,"Instagram, Facebook",選択なし/該当施設なし,恐竜パーク,選択なし／該当施設なし,トレインパーク白山,"1,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,福井県よりずっとずっといいです。,男,1981,福井県,福井市,"900万円以上 1,000万円未満","景品が当たる, 石川県のおすすめ観光スポットが見たい",とても満足,10,
加賀伝統工芸村　ゆのくにの森,2025/07/23 14:53:23,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 地元の美味しいものを食べる, 買い物、アウトレット, 各種体験（手作り、果物狩りなど）",飛行機,レンタカー,とても満足,空港から送迎ありでレンタカーに乗り、スムーズだった,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,新聞・雑誌・ガイドブック,選択なし/該当施設なし,空港から直接,選択なし／該当施設なし,ホテルへ,"10,000円以上 20,000円未満",とても満足,,とても満足,大剣が色々選べて、子どもも楽しめた,感じなかった,特になし,10,楽しかったです！,機会があれば行きたい,特になし,女,1986,東京都,墨田区,800万円以上 900万円未満,景品が当たる,とても満足,10,伝統工芸体験
日本自動車博物館,2025/07/24 8:49:29,同意する,3泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, 新婚旅行","新幹線, 在来線",レンタカー,満足,レンタカーを借りたが、駐車場が広かったため,"20,000円以上 30,000円未満","30,000円以上 40,000円未満","30,000円以上 40,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,金沢駅,選択なし／該当施設なし,道の駅のと千里浜,"1,000円以上 3,000円未満",満足,夫が車好きで訪れたがとても楽しそうにしていて、写真をいっぱい撮っていた。しかしお土産は少なめ？興味を引くようなものはないかな？,満足,トイレもさまざまな国の便器があり、面白かった。,感じなかった,なし,7,興味を引くようなお土産はなかった。,機会があれば行きたい,御朱印集め。のどくろ,女,1989,茨城県,つくばみらい市,"900万円以上 1,000万円未満","景品が当たる, なんとなく",満足,9,まず金沢駅、外観はもちろん中のお土産施設もお店が豊富で利用しやすかった。茶屋街も趣があり楽しめた。バスも頻回にきているので利用しやすかった。
トレインパーク白山,2025/07/24 11:25:38,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,"地元の美味しいものを食べる, まちあるき、都市散策",自家用車,自家用車,,,使わない,"10,000円以上 20,000円未満","10,000円以上 20,000円未満",11回目以上,"観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, 観光パンフレット・ポスター, 観光連盟やDMOのHP, インターネット・アプリ, X(旧：Twitter), Instagram, Facebook, ブログ, 友人・知人",木場潟公園,,那谷寺,,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,特になし,男,1986,富山県,高岡市,800万円以上 900万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい",とても満足,10,
ふれあい昆虫館,2025/07/24 12:05:40,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,飛行機,レンタカー,とても満足,道が走りやすいです,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","50,000円以上 100,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,山代温泉に泊まって、山中温泉を観光してからこちらにきました,選択なし／該当施設なし,白山トレインパーク,"1,000円以上 3,000円未満",とても満足,東京だとカブトムシのイベントは１８００円くらいは入場料だけでもとられるのに、ここはとても安いです。それなのにカブトムシと触れ合える。ヘラクレスにも触れ合えて、いろいろなカブトムシクワガタをみることができる。標本の数がすごかったです。虫の説明もたくさんあってよかったです。,とても満足,虫の展示がたくさんあっておもしろかったです。温室の蝶々も感動しました。温室の中にバナナの木があったりパイナップルがあったのが子供にみせられてよかったです。マムシがいきててうれしかったです。,感じなかった,,10,飲食はなくてもいいとは思いますが、お土産はこの施設の限定ものが思い出にほしかったです。昆虫好きにはたまらない場所なので、もっと石川県子供観光で検索したら、昆虫館の名前がでてくれば県外からも来る人がふえると思います。,また行きたい（1年以内）,子供が思いっきり遊べる施設。リーズナブルな価格で石川県の御当地名物が食べられる道の駅,女,1985,東京都,西東京市,600万円以上 700万円未満,"景品が当たる, 石川県が大好きなので、地震に負けずにもっと栄えてほしいから。",とても満足,10,山中、山代温泉です。すごく泉質がよくてぐっすり眠れました。石川ふれあい昆虫館です。
トレインパーク白山,2025/07/24 14:59:21,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,職場の同僚,出張など仕事関係,県外から訪れていない（石川県内在住）,自家用車,,ドクターイエローが来て、見所が増えてよかったです。,使わない,"1,000円未満","1,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円未満",満足,,満足,,感じなかった,,10,,石川県在住,特にない,男,1986,新潟県,小松市,600万円以上 700万円未満,景品が当たる,満足,10,
小松空港,2025/07/24 16:59:18,同意する,2泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,小学生以下連れの家族,"温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）",飛行機,レンタカー,満足,自由に行動できた,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","3,000円以上 5,000円未満",初めて,インターネット・アプリ,石川県立航空プラザ,,選択なし／該当施設なし,帰るため,"10,000円以上 20,000円未満",満足,飛行機出発遅延のため,満足,お弁当等が少なかった,感じなかった,,8,,機会があれば行きたい,特になし,男,1986,東京都,中野区,800万円以上 900万円未満,景品が当たる,とても満足,8,
トレインパーク白山,2025/07/24 17:55:31,同意する,日帰り,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,富山県,友人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,満足,新しい,"100,000円以上","20,000円以上 30,000円未満","10,000円以上 20,000円未満",初めて,X(旧：Twitter),日本自動車博物館,,選択なし／該当施設なし,,"10,000円以上 20,000円未満",満足,,どちらでもない,5階にトイレが無い,感じた,トイレが少ない,3,ソフトクリームのミニサイズがあれば良い,また行きたい（1年以内）,もっと高級なお土産を買いたい,女,1965,富山県,中新川郡,"900万円以上 1,000万円未満",景品が当たる,とても満足,5,
那谷寺,2025/07/24 18:21:20,同意する,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,名所、旧跡の観光,飛行機,"在来線, 路線バス",どちらでもない,本数が少ない,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満",初めて,北陸三十三観音ホームページ,選択なし/該当施設なし,,選択なし／該当施設なし,白山比咩神社,"1,000円以上 3,000円未満",どちらでもない,明日行く予定,とても満足,信仰が感じられたため,感じなかった,,10,入り口でデジタルチケットの表示が出来ませんでしたが、領収書の確認で入れていただきました。ありがとうございました。,また行きたい（1年以内）,素晴らしい観音霊場なのに知られてないのが残念です,女,1971,東京都,目黒区,400万円以上 500万円未満,とても親切にしていただいたため。,満足,10,北陸三十三観音霊場巡礼
航空プラザ,2025/07/24 18:42:34,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,福井県,小学生以下連れの家族,"地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット",自家用車,自家用車,,,使わない,"10,000円以上 20,000円未満","1,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ",選択なし/該当施設なし,コストコ,選択なし／該当施設なし,自宅,"1,000円未満",とても満足,シュミレーター体験が本格的でとても楽しかった,とても満足,見るのも体験するのもとても楽しめた,感じなかった,,10,,また行きたい（1年以内）,国道8号から空港までにもっと観光やご当地物のカフェがあると良いと思いました,女,1983,福井県,福井市,500万円以上 600万円未満,"景品が当たる, ひゃくまんさんが好き",とても満足,10,空港内も楽しめた（スタンプラリー、恐竜、展望台）
那谷寺,2025/07/25 6:21:57,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 名所、旧跡の観光","新幹線, 在来線",在来線,満足,乗り換えが戸惑いました。,"50,000円以上 100,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ",那谷寺,,ゆのくにの森,,"3,000円以上 5,000円未満",満足,紙すきの体験がよかった,満足,施設のこだわりが感じられた,感じた,喫煙場所が入口の外なので時間がかかった,7,キャンバスの乗り放題は便利でした,機会があれば行きたい,バスの本数を増やしてほしい,男,1963,大阪府,池田市,100万円未満,景品が当たる,満足,7,街の雰囲気がよかった
トレインパーク白山,2025/07/25 6:41:40,同意する,3泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策",飛行機,レンタカー,満足,小松空港近くのカーシェアを利用,"5,000円以上 10,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,インターネット・アプリ,日本自動車博物館,,石川県立航空プラザ,,"3,000円以上 5,000円未満",とても満足,関東圏にも同様の施設はあるが、コンテンツがとても充実しており、とくに新幹線特化型なのがわかりやすくて良かったです。,とても満足,混雑もしておらず、スタッフの対応も気持ちが良く、また訪れたいと思います。,感じなかった,,10,お土産コーナーの品揃えが充実しており、展示も見やすく、また通路も広くてベビーカーでも歩きやすかったです。,機会があれば行きたい,水曜定休日の飲食店が多く、昼食夕食の確保に苦労しました。,男,1991,神奈川県,藤沢市,600万円以上 700万円未満,"景品が当たる, 楽しかったこと、不満があったことを、直接伝えられる機会だから",とても満足,10,トレインパーク、自動車博物館、航空プラザと、乗り物付きにはたまらない3施設が揃っていると思います。スタンプラリー等で連携すると、訪れる人にも施設側にもメリットがあると思いました。
